"# of Use","# використання"
"%1$s incl tax.","%1$s включаючи податок."
"%s - %s","%s - %s"
"%s Item(s)","%s шт."
"(Copy data from: %s)","(Копіювати дані з: %s)"
"Visible on Catalog Pages on Front-end","Видимий на сторінках каталогу на зовнішньому інтерфейсі"
"Visible on Product View Page on Front-end","Відомий на сторінці показу продукт у Front-End"
"Watermark","Водяний знак"
"Watermark Default Size","Розмір водяного знаку за замовчуванням "
"Watermark Position","Розташування водяного знаку"
"We Also Recommend","Ми також рекомендуємо"
"Web Site Item Must be checked","Веб-сайту позиції повинні бути вибрані"
"Web Site Store Must be checked","Веб-сайту магазини повинні бути вибрані"
"Website","Вебсайт"
"Websites","Вебсайти"
"Wrong BuyRequest instance in options group","Неправильний BuyRequest екземпляр в групі параметрів"
"Wrong option instance type in options group","Wrong option instance type in options group"
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"Year Range","Ранжування по рокам"
"Yes","Так"
"Yes/No","Так/Ні"
"You cannot delete this attribute","Ви не можете видалити цей атрибут"
"You cannot edit this attribute","Ви не можете редагувати цей атрибут"
"You cannot remove system attribute from this set.","Ви не можете видалити системний атрибут з цього набору."
"You cannot update this attribute","Ви не можете оновити цей атрибут"
"You have no items to compare.","У Вас немає товарів для порівняння."
"You may also be interested in the following product(s)","Вас також можуть зацікавити наступні товари"
"Zoom In","Збільшити"
"Zoom Out","Зменшити"
"[GLOBAL]","[Глобальна змінна]"
"and","та"
"and above","та вище"
"cache refresh needed","необхідне оновлення кешу"
"categories","категорії"
"comma separated","розділені комою"
"each","кожен"
"ex. http://domain.com","Напр. http://domain.com"
"leave blank if its not an image","залиште порожнім, якщо без картинки"
"must be in the allowed values list","must be in the allowed values list"
"per page","товарів на стор."
"products","товарів"
"px.","px."
"save","зберегти"
"select all","вибрати всі"
"unselect all","відмінити вибір"
"x","x"
"Description","Опис"
"CustomTab","Дозування"
"CustomTab1","Застосування"
"CustomTab2","Сертифікати"
"CustomTab3","Склад"
"CustomTab4","Специфікація"
"Short Description","Короткий опис"
"Tax Class","вид податку"
"There are no products matching the selection.","There are no products matching the selection."
"Availability:","Наявність:"
"Qty:","Кількість:"
"Compare Products","Порівняння товарів"
"You have no items to compare.","У вас не має товарів для порівняння. На сторінці товару є кнопка - Додати для порівняння, яка дає можливість порівняти характеристики 2-х товарів, щоб краще зробити вибір"
"Site Map","Карта сайту"
"Go to Home Page","На Домашню сторінку"
"Home","Головна"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Categories","Категорії"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Categories Sitemap","Карта категорій"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Clear All","очистити все"
"Products Sitemap","Карта товарів"
"Brand: ","Виробник: "
"Product Code:","Код товару:"
